name,longitude,latitude
S_E_CENTRAL_QUILAPILUN,-70.65013599999997,-33.102855000999966
S_E_CENTRAL_QUINTERO,-71.48519899999997,-32.788183000999936
S_E_CENTRAL_SANTIAGO_SOLAR,-70.85883399999994,-33.081745000999945
S_E_CENTRAL_SAN_ISIDRO_I,-71.31574599999993,-32.93685800099996
S_E_CENTRAL_SAN_ISIDRO_II,-71.31450299999995,-32.936910000999944
S_E_CERRO_CALERA,-71.19543899999996,-32.79681500099997
S_E_CERRO_NEGRO,-70.88083599999999,-32.58428400099996
S_E_CHAGRES,-70.95380299999994,-32.80433000099998
S_E_CHOAPA,-71.47695599999997,-31.93776700099994
S_E_CODELCO_VENTANAS_1,-71.48255099999994,-32.76520400099997
S_E_CODELCO_VENTANAS_2,-71.48418099999998,-32.76010500099994
S_E_COMPRESORA_MINA_NAVIO,-71.19441599999993,-32.67428700099998
S_E_CONCON,-71.47391499999998,-32.93349400099993
S_E_CONFLUENCIA,-70.32655199999994,-33.16771700099997
S_E_CORDILLERA_(ANDINA),-70.25331499999999,-33.09716100099996
S_E_CRISTALERIAS,-70.94750799999997,-32.84811500099994
S_E_DOÑA_CARMEN,-71.25445299999996,-32.478685000999974
S_E_EL_BATO,-71.48760199999998,-32.77696500099995
S_E_EL_COBRE_[ANGLOAMERICAN),-71.14473499999997,-32.66080600099997
S_E_EL_LLANO,-70.56376999999998,-33.094327000999954
S_E_EL_MANZANO_(ENEL_DISTRIBUCION),-70.79262499999999,-33.15892700099994
S_E_EL_MELON,-71.20111199999997,-32.69529300099998
S_E_EM_N°2,-70.24877299999997,-33.15156700099993
S_E_ESPERANZA,-71.01017099999996,-32.84249400099998
S_E_ESTANCILLA,-70.96262722099993,-32.80869503099996
S_E_FUNDICION_CHAGRES,-70.95648399999999,-32.80642400099998
S_E_GNL_QUINTERO,-71.48759599999994,-32.778251000999944
S_E_HUERTOS_FAMILIARES,-70.79053794799995,-33.09668058099993
S_E_JUNCAL_PORTILLO,-70.14843399999995,-32.870826000999955
S_E_KM_21,-70.25324399999994,-33.03520100099996
S_E_LAS_TORTOLAS,-70.70233099999996,-33.14256500099998
S_E_LAS_VEGAS_(AES_GENER),-71.01163821499995,-32.84348706299994
S_E_LAS_VEGAS_CHILQUINTA,-71.01219299999997,-32.84316300099994
S_E_LA_CALERA,-71.19577899999996,-32.79625500099996
S_E_LA_POLVORA,-71.62714011599996,-33.08711638799997
S_E_LOS_ANDES_FFCC,-70.59299999999996,-32.82900000099994
S_E_LOS_ANGELES,-70.94362099999995,-32.59948000099996
S_E_LOS_BRONCES,-70.28481299999999,-33.14844200099998
S_E_LOS_MAQUIS,-70.41048299999994,-32.865723000999935
S_E_LOS_PLACERES,-71.57864199999995,-33.04909200099996
S_E_LOS_VILOS,-71.47801699999997,-31.938595000999953
S_E_MARBELLA,-71.42524099999997,-32.65507500099994
S_E_MARGA_MARGA,-71.54639699999996,-33.024423000999946
S_E_MAUCO,-71.49610699999994,-32.92801800099994
S_E_MAURO,-71.00605799999994,-31.942943000999946
S_E_MAYACA,-71.22960891699995,-32.86764784299993
S_E_MESETA_DE_LOS_ANDES,-70.53466099999997,-32.916808000999936
S_E_MINA,-70.28482599999995,-33.148433000999944
S_E_MINA_NUEVA,-70.28752999999995,-33.145610000999966
S_E_MIRAFLORES,-71.52542799999998,-33.03464300099995
S_E_MOLIENDA_3,-70.28835299999997,-33.145082000999935
S_E_MOLINOS,-70.25413999999995,-33.09407700099996
S_E_MOLINO_DE_BOLAS,-70.25359404599993,-33.09824719699998
S_E_MOVIL_QUINTA_REGION,-71.51738321999994,-32.933126699999946
S_E_NOGALES,-71.22641399999998,-32.720313000999965
S_E_NUEVA_NIVEL_11,-70.26060401399997,-33.14052517099998
S_E_NUEVA_PAN_DE_AZUCAR,-71.2158,-30.1206
S_E_NUEVA_PANQUEHUE,-70.91123795899995,-32.804207246999965
S_E_NUEVA_VENTANAS,-71.48167899999999,-32.74917100099998
S_E_PANQUEHUE,-70.83003499999995,-32.791883000999974
S_E_PEÑABLANCA,-71.32802199999998,-33.047590000999946
S_E_PHI,-70.34048799999994,-33.21105500099998
S_E_PLACILLA_(CHILQUINTA),-71.55903599999994,-33.108402000999945
